Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
US,US-IA,IA-2,3635500,3199250,257795250,6325825,24030800,83181000,24140000,1034887500,13887700,15378300,33701250,2763000,5417000
US,US-IA,IA-3,4667000,4106950,330936500,8120575,30848800,106781000,30989000,1328505000,17827900,19741350,43263000,3546900,6953800
US,US-IA,IA-4,2865400,2521500,203182250,4985725,18940000,65559000,19026000,815655000,10945700,12120450,26562000,2177650,4269400
US,US-ID,ID-1,531700,467900,37705000,925200,3514700,12166000,3530500,151365000,2031200,2249250,4929000,404100,792200
US,US-ID,ID-2,542700,477550,38482750,944300,3587200,12417000,3603500,154485000,2073100,2295600,5031000,412450,808600
US,US-IL,IL-1,587900,517350,41689250,1022975,3886100,13452000,3904000,167355000,2245800,2486925,5450250,446800,876000
US,US-IL,IL-10,592400,521300,42004500,1030725,3915500,13553000,3933500,168622500,2262800,2505675,5491500,450200,882600
US,US-IL,IL-11,675200,594200,47881250,1174925,4463300,15450000,4483500,192217500,2579400,2856300,6259500,513200,1006200
US,US-IL,IL-12,688500,605900,48823750,1198050,4551200,15754000,4572000,195997500,2630200,2912475,6382500,523300,1026000
US,US-IL,IL-13,781700,687900,55428750,1360125,5166900,17885000,5190500,222510000,2986000,3306525,7246500,594100,1164800
US,US-IL,IL-14,1139600,1002900,80812500,1983000,7533100,26075000,7567500,324412500,4353500,4820700,10564500,866150,1698000
US,US-IL,IL-15,448200,394450,31785000,779950,2962900,10256000,2976500,127597500,1712300,1896075,4155000,340650,667800
US,US-IL,IL-16,571900,503250,40550500,995025,3780000,13084000,3797000,162787500,2184500,2418975,5301000,434600,852000
US,US-IL,IL-17,437000,384550,30985250,760325,2888300,9998000,2901500,124387500,1669200,1848375,4050750,332100,651000
US,US-IL,IL-18,417900,367750,29631250,727100,2762100,9561000,2774500,118950000,1596300,1767600,3873750,317600,622600
US,US-IL,IL-2,698200,614450,49512250,1214950,4615400,15976000,4636500,198765000,2667300,2953575,6472500,530650,1040400
US,US-IL,IL-3,830400,730800,58885750,1444950,5489100,19000000,5514000,236392500,3172200,3512700,7698000,631150,1237400
US,US-IL,IL-4,795100,699650,56379500,1383450,5255500,18192000,5279500,226327500,3037200,3363225,7370250,604250,1184600
US,US-IL,IL-5,980700,863050,69543250,1706450,6482600,22439000,6512000,279172500,3746400,4148475,9091500,745350,1461200
US,US-IL,IL-6,861900,758450,61114250,1499625,5696900,19719000,5722500,245332500,3292300,3645675,7989750,655000,1284200
US,US-IL,IL-7,1675200,1474200,118789250,2914875,11073100,38329000,11123500,476865000,6399300,7086150,15529500,1273150,2496000
US,US-IL,IL-8,978500,861100,69385750,1702600,6467900,22388000,6497500,278542500,3737900,4139100,9070500,743650,1458000
US,US-IL,IL-9,1056800,929950,74935750,1838775,6985300,24179000,7017000,300817500,4036900,4470150,9796500,803150,1574600
US,US-IN,IN-1,647200,569500,45890250,1126075,4277700,14807000,4297000,184222500,2472200,2737500,5999250,491850,964200
US,US-IN,IN-2,715500,629650,50736250,1244975,4729500,16371000,4751000,203677500,2733200,3026550,6633000,543800,1066200
US,US-IN,IN-3,738000,649500,52335000,1284200,4878500,16887000,4900500,210090000,2819300,3121950,6841500,560900,1099600
US,US-IN,IN-4,757300,666450,53701250,1317725,5005900,17327000,5028500,215580000,2892900,3203475,7020000,575550,1128400
